pair_id,direction,location,query,medium_record_id,good_record_id,sqi_distance,clean_pred,patched_pred,delta_h_int,delta_bad_logit,flip
0,rescued_medium_to_nearest_good_query,Z_Q,QRS,butv116_10547,butv116_02279,0.3309700530727382,medium,medium,0.3653233051300049,0.11745595932006836,0
0,nearest_good_to_rescued_medium_query,Z_Q,QRS,butv116_10547,butv116_02279,0.3309700530727382,good,good,0.5548650026321411,0.0879058837890625,0
0,rescued_medium_to_nearest_good_query,Z_Q,RR_TEMPLATE,butv116_10547,butv116_02279,0.3309700530727382,medium,medium,0.37329792976379395,0.0993661880493164,0
0,nearest_good_to_rescued_medium_query,Z_Q,RR_TEMPLATE,butv116_10547,butv116_02279,0.3309700530727382,good,good,0.5562965869903564,0.07752752304077148,0
0,rescued_medium_to_nearest_good_query,Z_Q,BASELINE,butv116_10547,butv116_02279,0.3309700530727382,medium,medium,0.3786463737487793,0.13344383239746094,0
0,nearest_good_to_rescued_medium_query,Z_Q,BASELINE,butv116_10547,butv116_02279,0.3309700530727382,good,good,0.5335345268249512,0.08454608917236328,0
0,rescued_medium_to_nearest_good_query,Z_Q,CONTACT_RESET,butv116_10547,butv116_02279,0.3309700530727382,medium,medium,0.37020182609558105,0.12622594833374023,0
0,nearest_good_to_rescued_medium_query,Z_Q,CONTACT_RESET,butv116_10547,butv116_02279,0.3309700530727382,good,good,0.505173921585083,0.07451105117797852,0
0,rescued_medium_to_nearest_good_query,Z_Q,DETAIL_NOISE,butv116_10547,butv116_02279,0.3309700530727382,medium,medium,0.35411715507507324,0.12724685668945312,0
0,nearest_good_to_rescued_medium_query,Z_Q,DETAIL_NOISE,butv116_10547,butv116_02279,0.3309700530727382,good,good,0.5040500164031982,0.06310367584228516,0
0,rescued_medium_to_nearest_good_query,Z_Q,GLOBAL_MORPH,butv116_10547,butv116_02279,0.3309700530727382,medium,medium,0.3818073272705078,0.11022090911865234,0
0,nearest_good_to_rescued_medium_query,Z_Q,GLOBAL_MORPH,butv116_10547,butv116_02279,0.3309700530727382,good,good,0.5586732625961304,0.07177066802978516,0
