record_id,idx,source_idx,split,true_class,v116_candidate_type,v116_generated,true_y,svm_pred,mlp_pred,conformer_pred,svm_good_score,svm_medium_score,svm_bad_score,mlp_good_prob,mlp_medium_prob,mlp_bad_prob,conformer_good_prob,conformer_medium_prob,conformer_bad_prob,sqi_nearest_good_id,sqi_distance,l_detail,l_base
butv116_00007,7,21,test,good,original_but,0,0,good,good,good,0.8132309039794371,0.18239951224968462,0.004369583770878268,0.7350425717533884,0.18540039275619327,1.0000812929872221e-05,0.9252995848655701,0.0746300220489502,7.039174670353532e-05,,,0.6965198307985618,0.38015314630675684
butv116_00027,27,55,test,good,original_but,0,0,good,good,good,0.67710518432615,0.3171521608105809,0.005742654863268978,0.6478174507199411,0.2064090933770304,1.7798003940002927e-05,0.996843695640564,0.002937574405223131,0.00021875268430449069,,,0.7158653340985068,0.26700265618217994
butv116_00038,38,72,test,good,original_but,0,0,good,good,good,0.6033052587759461,0.3905863602860512,0.006108380938002851,0.5500703969018701,0.27465235475051486,1.1398657153680715e-05,0.9947364926338196,0.005142959766089916,0.00012053362297592685,,,0.6796475920381352,0.26228530991403054
butv116_00041,41,79,test,good,original_but,0,0,good,good,good,0.717156421641392,0.2773794832639714,0.005464095094636676,0.624425952473367,0.23485573133015222,1.157577682056872e-05,0.9975448846817017,0.0023080240935087204,0.00014709726383443922,,,0.6612230572620674,0.2407204981646835
butv116_00044,44,83,test,good,original_but,0,0,good,good,good,0.8341735168637999,0.16197728580271384,0.003849197333486376,0.7444751890759786,0.1956341248976742,9.286435640613175e-06,0.9950401782989502,0.004787743091583252,0.00017205318727064878,,,0.6747750803182065,0.28883242477716087
butv116_00063,63,107,test,good,original_but,0,0,good,good,good,0.7756465880951723,0.21963690653807985,0.004716505366747588,0.7236356227968446,0.17876537765517722,1.727685590249245e-05,0.9961099028587341,0.0037658207584172487,0.00012425165914464742,,,0.6759909502787743,0.3445257437062259
butv116_00065,65,109,test,good,original_but,0,0,good,good,good,0.860248158100387,0.13579959226624047,0.003952249633372699,0.8142011191652779,0.13669977862529187,1.553578971756941e-05,0.9949925541877747,0.0048520853742957115,0.0001554045593366027,,,0.68328095045735,0.25637729951579086
butv116_00066,66,110,test,good,original_but,0,0,good,good,good,0.7914024182049127,0.20377488750346032,0.0048226942916270565,0.7438443874812091,0.16522828413697757,1.570883486460801e-05,0.9946891665458679,0.005144566763192415,0.00016624551790300757,,,0.6732349213147767,0.17945191835546404
butv116_00088,88,141,test,good,original_but,0,0,good,good,good,0.8471073916529441,0.14930547419425522,0.0035871341528007417,0.7912987361199069,0.15506196501169678,2.102111858085455e-05,0.9832869172096252,0.016627594828605652,8.547754987375811e-05,,,0.6919122341690871,0.34884382461420815
butv116_00089,89,142,test,good,original_but,0,0,good,good,good,0.6701817219470468,0.32463206712734616,0.005186210925607013,0.5875278352618395,0.2685139542374938,1.3095227430771572e-05,0.9934602975845337,0.006459635682404041,8.009601879166439e-05,,,0.6905450281676784,0.2545383999026356
butv116_00109,109,175,test,good,original_but,0,0,good,good,good,0.7279719898468971,0.26709540334531795,0.004932606807784841,0.6593954025310242,0.21802371957345668,1.7944465606051208e-05,0.9947395324707031,0.005126125644892454,0.0001343537587672472,,,0.6989971021688844,0.2835847016886521
butv116_00118,118,185,test,good,original_but,0,0,good,good,good,0.7164321163895142,0.278864545104537,0.0047033385059490436,0.631997783310703,0.2473337037511086,2.1379745399953417e-05,0.9609971642494202,0.03892885893583298,7.399582682410255e-05,,,0.7030145100691028,0.5477036751890494
butv116_00120,120,187,test,good,original_but,0,0,good,good,good,0.7525571588941012,0.24290605867432807,0.004536782431570697,0.6708347884482975,0.22287120726917303,1.3101154456813254e-05,0.9917399883270264,0.008166132494807243,9.385547309648246e-05,,,0.6758563414484122,0.42351123500555193
butv116_00135,135,210,test,good,original_but,0,0,good,good,good,0.6962191389669327,0.2981225337437461,0.005658327289321282,0.6237286011907678,0.22774993612663735,1.5248906214132301e-05,0.9927149415016174,0.007183833513408899,0.00010121406376129016,,,0.6573255789724024,0.35186577170392885
butv116_00141,141,258,test,good,original_but,0,0,good,good,good,0.8945236724895775,0.10155486399256977,0.0039214635178527165,0.8496195566406795,0.13938134067756272,6.015463146868412e-06,0.9077404141426086,0.09219459444284439,6.505645433207974e-05,,,0.6977702191948074,0.4304409058398141
butv116_00162,162,294,test,good,original_but,0,0,good,good,good,0.9447814014718534,0.051879420964058134,0.003339177564088288,0.9360133673249438,0.0769194943544385,1.3066409685940698e-05,0.984978973865509,0.014968124218285084,5.287094245431945e-05,,,0.6802538447923879,0.13671018257489487
butv116_00211,211,358,test,good,original_but,0,0,good,good,good,0.9225392427770248,0.07410663487633352,0.0033541223466418166,0.8846552260309797,0.12587637309257477,7.0925891104372775e-06,0.9896366000175476,0.010317020118236542,4.636103403754532e-05,,,0.7042751569482497,0.3265521236171523
