record_id,lead,detector,hr_bpm
1002867,I,wqrs,61.98347107438017
1002867,II,wqrs,61.98347107438017
1002867,III,wqrs,61.47540983606557
1002867,aVR,wqrs,61.47540983606557
1002867,aVL,wqrs,61.98347107438017
1002867,aVF,wqrs,61.47540983606557
1002867,V1,wqrs,61.47540983606557
1002867,V2,wqrs,61.98347107438017
1002867,V3,wqrs,61.47540983606557
1002867,V4,wqrs,61.47540983606557
1002867,V5,wqrs,61.47540983606557
1002867,V6,wqrs,61.47540983606557
1002867,I,eplimited,61.98347107438017
1002867,II,eplimited,61.7283950617284
1002867,III,eplimited,61.98347107438017
1002867,aVR,eplimited,61.7283950617284
1002867,aVL,eplimited,61.98347107438017
1002867,aVF,eplimited,61.47540983606557
1002867,V1,eplimited,61.7283950617284
1002867,V2,eplimited,61.98347107438017
1002867,V3,eplimited,61.47540983606557
1002867,V4,eplimited,61.7283950617284
1002867,V5,eplimited,61.98347107438017
1002867,V6,eplimited,61.47540983606557
1003574,I,wqrs,62.761506276150634
1003574,II,wqrs,73.17073170731707
1003574,III,wqrs,66.96428571428571
1003574,aVR,wqrs,53.57142857142857
1003574,aVL,wqrs,57.69230769230769
1003574,aVF,wqrs,81.52173913043478
1003574,V1,wqrs,127.11864406779662
1003574,V2,wqrs,170.45454545454547
1003574,V3,wqrs,136.36363636363637
1003574,V4,wqrs,170.45454545454547
1003574,V5,wqrs,178.57142857142858
1003574,V6,wqrs,127.11864406779662
1003574,I,eplimited,53.0035335689046
1003574,II,eplimited,53.0035335689046
1003574,III,eplimited,53.57142857142857
1003574,aVR,eplimited,53.191489361702125
1003574,aVL,eplimited,53.380782918149464
1003574,aVF,eplimited,53.57142857142857
1003574,V1,eplimited,85.22727272727273
1003574,V2,eplimited,80.64516129032258
1003574,V3,eplimited,23.4375
1003574,V4,eplimited,90.36144578313252
1003574,V5,eplimited,89.82035928143713
1003574,V6,eplimited,89.28571428571428
1004502,I,wqrs,119.04761904761905
1004502,II,wqrs,120.96774193548387
1004502,III,wqrs,120.96774193548387
1004502,aVR,wqrs,119.04761904761905
1004502,aVL,wqrs,119.04761904761905
1004502,aVF,wqrs,120.96774193548387
1004502,V1,wqrs,120.96774193548387
1004502,V2,wqrs,111.1111111111111
1004502,V3,wqrs,119.04761904761905
1004502,V4,wqrs,120.0
1004502,V5,wqrs,120.0
1004502,V6,wqrs,120.96774193548387
1004502,I,eplimited,120.96774193548387
1004502,II,eplimited,120.96774193548387
1004502,III,eplimited,121.95121951219512
1004502,aVR,eplimited,122.95081967213115
1004502,aVL,eplimited,120.96774193548387
1004502,aVF,eplimited,122.95081967213115
1004502,V1,eplimited,122.95081967213115
1004502,V2,eplimited,119.04761904761905
1004502,V3,eplimited,120.96774193548387
1004502,V4,eplimited,120.96774193548387
1004502,V5,eplimited,120.96774193548387
1004502,V6,eplimited,121.95121951219512
1005639,I,wqrs,62.5
1005639,II,wqrs,62.5
1005639,III,wqrs,62.5
1005639,aVR,wqrs,62.5
1005639,aVL,wqrs,62.5
1005639,aVF,wqrs,62.5
1005639,V1,wqrs,62.5
1005639,V2,wqrs,62.5
1005639,V3,wqrs,62.5
1005639,V4,wqrs,62.5
1005639,V5,wqrs,62.5
1005639,V6,wqrs,62.5
1005639,I,eplimited,62.5
1005639,II,eplimited,62.5
1005639,III,eplimited,63.02521008403362
1005639,aVR,eplimited,62.5
1005639,aVL,eplimited,62.5
1005639,aVF,eplimited,63.02521008403362
1005639,V1,eplimited,63.02521008403362
1005639,V2,eplimited,63.02521008403362
1005639,V3,eplimited,63.02521008403362
1005639,V4,eplimited,63.02521008403362
1005639,V5,eplimited,62.5
1005639,V6,eplimited,62.5
1007823,I,wqrs,65.21739130434783
1007823,II,wqrs,66.3716814159292
1007823,III,wqrs,73.17073170731707
1007823,aVR,wqrs,65.50218340611353
1007823,aVL,wqrs,65.21739130434783
1007823,aVF,wqrs,58.36575875486381
1007823,V1,wqrs,65.21739130434783
1007823,V2,wqrs,65.78947368421052
1007823,V3,wqrs,65.21739130434783
