record_id,idx,source_idx,split,true_class,v116_candidate_type,v116_generated,true_y,svm_pred,mlp_pred,conformer_pred,svm_good_score,svm_medium_score,svm_bad_score,mlp_good_prob,mlp_medium_prob,mlp_bad_prob,conformer_good_prob,conformer_medium_prob,conformer_bad_prob,sqi_nearest_good_id,sqi_distance,l_detail,l_base,mlp_gm_margin,conformer_gm_margin
butv116_10291,10291,32570,test,good,original_but,0,0,medium,medium,good,-0.6776522886874936,0.5835926329163663,-1.019066030589587,0.371488334810574,0.6264391899301678,0.0020724752592582,0.9884832501411438,0.0114595917984843,5.716185478377156e-05,,,0.4821931042779894,2.3088365176905707,-0.2549508551195938,0.9770236583426595
butv116_09855,9855,31296,test,good,original_but,0,0,good,medium,good,0.891767711902031,-0.3676507229290254,-2.333892554946385,0.4920935017023716,0.504475774918296,0.0034307233793325,0.9832042455673218,0.0167090035974979,8.674372656969354e-05,,,0.4837272369924171,0.2096163125260575,-0.012382273215924389,0.9664952419698238
butv116_01367,1367,2131,test,good,original_but,0,0,medium,medium,good,-1.533975635411398,-0.2002958354288957,-0.3691049990648898,0.0038447126470801,0.9024933806404446,0.0936619067124753,0.7355996370315552,0.2642751336097717,0.0001252339279744,,,0.5019087735670661,2.410146735248704,-0.8986486679933645,0.4713245034217835
butv116_04417,4417,14779,test,good,original_but,0,0,medium,medium,good,-0.6151973010428269,0.0660514460129865,-0.912918603697932,0.0944313566458248,0.9054845139431766,8.412941099850837e-05,0.96479070186615,0.0351788736879825,3.0418194000958465e-05,,,0.5429117662293239,1.577559182416682,-0.8110531572973518,0.9296118281781676
butv116_09388,9388,29866,test,good,original_but,0,0,good,medium,good,0.6851340756496395,-0.3597789697522794,-2.7565944440831376,0.3145616944072538,0.6854007899337627,3.751565898342526e-05,0.9207130670547484,0.0792607814073562,2.619303995743394e-05,,,0.5785815003245607,0.5468478957560237,-0.37083909552650896,0.8414522856473923
butv116_02904,2904,6112,test,good,original_but,0,0,medium,medium,good,-0.0040090682848743,0.0416836847145565,-1.3993609009217018,0.3254460480597399,0.6745005039533829,5.344798687721472e-05,0.9507507085800172,0.0491991303861141,5.014511407352984e-05,,,0.5842093891608159,0.9967261242299352,-0.349054455893643,0.9015515781939031
butv116_03062,3062,6410,test,good,original_but,0,0,medium,medium,good,0.0293164088465277,0.1463177818842588,-1.6432447571465338,0.3678262432548173,0.6320865974297206,8.715931546208089e-05,0.9429323077201844,0.0570299588143825,3.7759073165943846e-05,,,0.5920735436679342,1.0285183965093738,-0.26426035417490334,0.885902348905802
butv116_03821,3821,8513,test,good,original_but,0,0,medium,medium,good,-0.6099561501886384,0.0098173923919204,-0.6952404800269733,0.1875506595745389,0.8116490245538283,0.0008003158716327,0.9897503852844238,0.0102147525176405,3.4891636460088193e-05,,,0.5957799256208137,1.6167987031448796,-0.6240983649792894,0.9795356327667833
butv116_09700,9700,31057,test,good,original_but,0,0,good,medium,good,0.2523681554946589,0.0207105944098948,-2.231000597271453,0.3674232271628015,0.6325375473643313,3.922547286716715e-05,0.9940604567527772,0.0058931158855557,4.645401713787578e-05,,,0.6002013756050352,0.3055164646641497,-0.2651143202015298,0.9881673408672215
butv116_03108,3108,6582,test,good,original_but,0,0,medium,medium,good,-0.2634378424208066,0.1049887486893684,-1.2485191293273106,0.0525895202726497,0.9473865585668142,2.3921160536126557e-05,0.546718180179596,0.4532496929168701,3.2098774681799114e-05,,,0.6125151890634228,0.7977808696368476,-0.8947970382941645,0.09346848726272583
butv116_03129,3129,6614,test,good,original_but,0,0,good,medium,good,-0.1111125548526623,-0.1376332995751817,-1.180581166294704,0.2664542226416678,0.7335313526038532,1.4424754479007923e-05,0.572833776473999,0.4271234571933746,4.278837513993494e-05,,,0.6128291733980985,0.635461523266913,-0.46707712996218537,0.14571031928062445
butv116_03248,3248,7194,test,good,original_but,0,0,medium,medium,good,-0.226138989970426,-0.0046009031569569,-1.2214124181519277,0.1529482708506864,0.8470017743503119,4.9954799001734366e-05,0.613145649433136,0.3868138194084167,4.051239739055745e-05,,,0.6152434922782168,0.4196089187909808,-0.6940535034996255,0.2263318300247193
butv116_05029,5029,18027,test,good,original_but,0,0,good,medium,good,0.0645140626733906,0.0575242356899626,-1.7638925739193825,0.3511360843881433,0.6488330800983201,3.08355135365988e-05,0.9739618897438048,0.026006544008851,3.156780076096766e-05,,,0.6212981383526753,0.4206216843447319,-0.29769699571017677,0.9479553457349538
butv116_03245,3245,7190,test,good,original_but,0,0,good,medium,good,-0.0012110168476239,-0.0634697775278621,-1.3094880402911822,0.3339337788584566,0.666051132953017,1.5088188526444385e-05,0.7674766778945923,0.2324769645929336,4.6389603085117415e-05,,,0.624039615362058,0.2031920728397752,-0.3321173540945604,0.5349997133016586
butv116_04431,4431,14807,test,good,original_but,0,0,medium,medium,good,-0.9329091546495256,0.0065203256750076,-0.5712407118310885,0.135713898522395,0.863773039979054,0.000513061498551,0.97288578748703,0.0270875990390777,2.655850948940497e-05,,,0.6241415558138206,1.8020911233300048,-0.728059141456659,0.9457981884479524
butv116_04320,4320,14423,test,good,original_but,0,0,good,medium,good,-0.1568272063626266,-0.200156013089773,-1.36170060017625,0.2776718257938996,0.7222813974416371,4.6776764463340585e-05,0.5243902802467346,0.4755690991878509,4.059415005031042e-05,,,0.6242217524397746,0.1955304432129197,-0.4446095716477375,0.04882118105888372
