idx,candidate_type,display_subtype,record_id,source_idx,rms,ptp,diff,base_range,resid_p95,resid_sd,x_range,sign_changes,score
23260,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_4,v116_native_morph_25408_4,0.85617554,3.2352645,0.093730845,0.46043771462254335,0.1217717799403175,0.05646153197030675,0.6208899709582328,0.040032025620496396,3.7571025989462234
24446,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_0,v116_native_morph_25408_0,0.8557547,3.2331238,0.09293715,0.45934559176736267,0.12149503031743872,0.056459485309317124,0.6203347659111023,0.040032025620496396,3.7567264646899035
24679,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_6,v116_native_morph_25408_6,0.85570437,3.2319074,0.09318928,0.4619063751439033,0.12229069963168765,0.05676598837291692,0.6235625740885734,0.040032025620496396,3.7530676722500926
22736,clean_style,bad_dense_right_island,v115_cleanonly_regime_ptbxl_4095,4095,0.8213679,2.9953136,0.3273369,2.1272114764765435,0.6135211104415802,0.3887339160928448,2.965017080307007,0.088871096877502,3.4138897540643014
22963,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_4,v116_native_morph_25057_4,0.9210887,3.6332092,0.16898459,0.4387154192266711,0.1494571759047096,0.08150600451747217,0.6280967411398888,0.036028823058446756,2.913755204665007
23803,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_0,v116_native_morph_25057_0,0.92197096,3.6360812,0.1687738,0.4369607987616998,0.14892476679888494,0.08112884964603109,0.6253146503865719,0.036028823058446756,2.912467305183908
27497,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_21198,21198,0.9252544,3.6566277,0.16992989,0.4344988469880415,0.1482361940111509,0.08089046538114288,0.6230186806619167,0.03682946357085669,2.9090077700310193
23038,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_2,v116_native_morph_25057_2,0.92405283,3.6510568,0.16963254,0.4357892318788277,0.14867720695682551,0.08109704556360778,0.6246248580515384,0.03682946357085669,2.9089924984115787
31469,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_2427,2427,0.92800146,3.677124,0.17279893,0.42980445531378697,0.14691066005161918,0.08007722588450274,0.6175495341420174,0.03843074459567654,2.902539529351298
27647,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_6234,6234,0.9177376,3.6491594,0.17170504,0.42250502359166564,0.14675341569837105,0.07979269195934093,0.6140198537707329,0.04323458767013611,2.853052847563609
22800,clean_style,bad_other_boundary,v115_cleanonly_regime_ptbxl_15573,15573,0.7538282,2.4456084,0.20668449,1.7259894803567115,0.6808716775780818,0.30646795049596437,2.2397414982318877,0.11289031224979984,2.4672323889213157
27550,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_4749,4749,1.3862929,7.7250824,0.1869416,0.3738319396845341,0.1536983666509488,0.11653742539125081,1.056779464483261,0.021617293835068056,2.419257861395646
25673,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_7,v116_native_morph_26259_7,1.3717191,7.647933,0.18553895,0.37704145594834115,0.15568917855727984,0.11756894910326487,1.0662455077469348,0.021617293835068056,2.4087716978762597
25623,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_1,v116_native_morph_26259_1,1.3721614,7.64837,0.18424636,0.37691916192917885,0.1557704746141417,0.11758074193810539,1.065857597142458,0.021617293835068056,2.4067227213141518
30770,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_13373,13373,0.9316342,3.4767268,0.13453211,0.3720161687779907,0.1602805991447437,0.09089563493193321,0.6010687750577925,0.01921537229783827,2.309486855591399
26174,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_5,v116_native_morph_25058_5,0.939488,3.505671,0.0988347,0.386745966865138,0.16821135352105937,0.09436710562059257,0.6244201424717903,0.014411529223378704,2.2905062586131653
30784,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_3011,3011,0.932129,3.4952755,0.10438355,0.37739106329488176,0.16418428416818423,0.09253613744842488,0.6128294521570206,0.014411529223378704,2.289921222764703
27498,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_20047,20047,0.92908055,3.4586124,0.1020041,0.3779255407604141,0.1656137998476049,0.09235760054117144,0.6095471560955048,0.013610888710968775,2.2737885885872475
26735,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_3418,3418,0.8655771,3.2732542,0.12544607,0.38139052073043633,0.17407175575469275,0.08064024197153351,0.6529225850105286,0.06084867894315452,2.1544742068790135
30944,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_9690,9690,0.8796672,3.3559995,0.13637093,0.3721100360765474,0.17074825577062194,0.07958816571944395,0.637032147347927,0.059247397918334666,2.1437292066896676
23956,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_5,v116_native_morph_25304_5,1.1647184,5.8607273,0.96892965,0.40023617080345086,0.2002116344458871,0.11112282088889988,0.8161315160989762,0.08726981585268215,1.9466936241983686
30307,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_20914,20914,1.0722318,4.3511457,0.25369987,0.3785727659381246,0.19374086832506135,0.08616820653541396,0.6248815393447876,0.020016012810248198,1.9419963550464536
24993,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_5,v116_native_morph_26976_5,1.0616218,4.312538,0.25291267,0.3849814703831893,0.19743354557855108,0.08748189961607666,0.63436379134655,0.021617293835068056,1.936949123627714
23103,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_0,v116_native_morph_26976_0,1.061591,4.3127337,0.2531524,0.38483820443866157,0.19734430814362378,0.08744663382154956,0.6341693596541882,0.02321857485988791,1.9361441219284372
25313,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_7,v116_native_morph_26976_7,1.0616493,4.311807,0.25155398,0.38420307657819275,0.19707072573100337,0.08732158189152463,0.6331302699446678,0.02321857485988791,1.9356284641708508
30525,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_14879,14879,1.0622327,4.3279457,0.25585595,0.37762561171679465,0.19400746534834518,0.08580501906840697,0.623781318962574,0.02321857485988791,1.9325076923727498
22839,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_1,v116_native_morph_25304_1,1.1666572,5.873156,0.97132665,0.39949445374703313,0.20180884850850847,0.11147306563493745,0.8167492356896401,0.08726981585268215,1.9271968718646477
26059,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_0,v116_native_morph_25063_0,1.0306714,3.7189732,0.07969851,0.3232367835469965,0.18922152112057686,0.10134510196729267,0.6158937568962575,0.012810248198558846,1.7005501732310315
25813,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_4,v116_native_morph_25063_4,1.0311571,3.720521,0.07936491,0.32515805092432315,0.19061331642646456,0.10198064359638342,0.6194618171453475,0.012810248198558846,1.6981566073869632
27501,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_6889,6889,1.0286577,3.7108827,0.081075974,0.3216285176613448,0.1888425823182111,0.10079073327008124,0.6121073658764362,0.012810248198558846,1.6954615763733467
23675,but_native_morph,bad_contact_reset_flatline,v116_native_morph_111001_6,v116_native_morph_25063_6,1.0303043,3.7168083,0.07825934,0.32388772051184844,0.1902422371122613,0.10156813144799216,0.6166773720085621,0.012810248198558846,1.6948065411139113
29553,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_3461,3461,1.0314295,3.726668,0.084806055,0.317171381587516,0.18635503053333538,0.09967608958035414,0.6050927370786667,0.012810248198558846,1.6942785295503406
29272,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_15277,15277,1.0321764,3.7384677,0.103518024,0.31068643902231796,0.18237717945937554,0.09778889135873738,0.5944952224195004,0.017614091273018415,1.6929601139678607
22743,clean_style,bad_detector_template_disagree,v115_cleanonly_regime_ptbxl_6487,6487,0.7029201,2.0846467,0.25564548,0.8498803499540633,0.4978776008272876,0.25319563175395776,1.19480078458786,0.08406725380304243,1.6565628178521805
22764,clean_style,bad_detector_template_disagree,v115_cleanonly_regime_ptbxl_13905,13905,0.76047,2.4238207,0.4832614,1.178010463854298,0.6934517591321245,0.3389991091242137,1.832473489642143,0.16253002401921537,1.6012429297782538
27184,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_17648,17648,0.8132629,3.4855003,0.2997668,0.35645982503030166,0.22110151772793618,0.09986546606005675,0.7256269726157187,0.05684547638110488,1.5780852332493918
27509,ptb_morph,bad_contact_reset_flatline,v114_D2_ptb_but_style_residual_ptbxl_14429,14429,0.81505996,3.5505428,0.2970584,0.3601093603043902,0.22443192173505735,0.10161821440351876,0.7470633122324943,0.053642914331465175,1.5723442709741793
